dataset,missing_type,missing_rate,variant,seed,batches,route_entropy,route_effective_groups,out_a_norm,out_b_norm,out_ab_cosine,proj_a_weight_norm,proj_b_weight_norm,gate_mean,gate_std,gate_group_mean,route_top1_counts
Traffic,random_point,0.3,soft,2024,5,1.0016155242919922,2.4611825942993164,,,,,,,,,240.0000|232.0000|141.0000|249.0000
Traffic,random_point,0.3,soft,2025,5,0.9725037217140198,2.397244930267334,,,,,,,,,284.0000|182.0000|181.0000|215.0000
Traffic,random_point,0.5,soft,2024,5,0.9242934584617615,2.276857852935791,,,,,,,,,270.0000|240.0000|110.0000|242.0000
Traffic,random_point,0.5,soft,2025,5,0.9970278143882751,2.4963126182556152,,,,,,,,,347.0000|200.0000|153.0000|162.0000
Weather,continuous_segment,0.5,soft,2024,5,1.1142719984054565,2.86979603767395,,,,,,,,,7.0000|3.0000|6.0000|5.0000
Weather,continuous_segment,0.5,soft,2025,5,1.1215226650238037,2.86012864112854,,,,,,,,,5.0000|8.0000|2.0000|6.0000
Weather,continuous_segment,0.7,soft,2024,5,1.1822054386138916,3.0014045238494873,,,,,,,,,6.0000|6.0000|5.0000|4.0000
Weather,continuous_segment,0.7,soft,2025,5,1.1906791925430298,3.0614659786224365,,,,,,,,,5.0000|6.0000|0.0000|10.0000
Electricity,continuous_segment,0.5,ggate,2024,5,0.7025951743125916,1.9159873723983765,13.724832153320312,9.422138595581055,-0.04556035101413727,,,0.4449479579925537,0.01311631128191948,0.4421|0.4663|0.4304|0.4409,52.0000|70.0000|147.0000|52.0000
Electricity,continuous_segment,0.5,ggate,2025,5,0.4449145197868347,1.4502803087234497,13.434896087646484,12.914699745178222,-0.03942892998456955,,,0.45162948966026306,0.01721321977674961,0.4399|0.4667|0.4297|0.4701,102.0000|71.0000|90.0000|58.0000
Electricity,random_point,0.5,ggate,2024,5,0.8589813709259033,2.2010838985443115,13.322054862976074,8.225590896606445,-0.04669746458530426,,,0.4869975447654724,0.005552269052714109,0.4783|0.4862|0.4914|0.4922,106.0000|66.0000|104.0000|45.0000
Electricity,random_point,0.5,ggate,2025,5,0.7788976430892944,1.958914875984192,15.9557466506958,12.585802459716797,-0.15462120175361632,,,0.46887192130088806,0.010381932370364666,0.4664|0.4855|0.4666|0.4569,112.0000|90.0000|52.0000|67.0000
Traffic,continuous_segment,0.7,ggate,2024,5,0.7438229918479919,1.8864487409591675,14.930070877075195,11.432848930358887,-0.18740732073783875,,,0.47890156507492065,0.012230497784912586,0.4994|0.4673|0.4731|0.4758,118.0000|252.0000|342.0000|150.0000
Traffic,continuous_segment,0.7,ggate,2025,5,0.7342090606689453,1.8935457468032837,15.376845932006836,10.88343563079834,-0.2737534284591675,,,0.48233914375305176,0.009413562715053558,0.4904|0.4679|0.4910|0.4801,301.0000|281.0000|130.0000|150.0000
Traffic,random_point,0.3,ggate,2024,5,1.0280678272247314,2.540665864944458,18.213912582397462,15.264443397521973,-0.29377689957618713,,,0.49373888969421387,0.006253183353692293,0.5025|0.4851|0.4920|0.4953,202.0000|224.0000|338.0000|98.0000
Traffic,random_point,0.3,ggate,2025,5,0.9727963209152222,2.375156879425049,14.39324131011963,11.70660343170166,-0.12493294924497604,,,0.4753832221031189,0.006524049211293459,0.4865|0.4709|0.4734|0.4707,228.0000|251.0000|270.0000|113.0000
Traffic,random_point,0.5,ggate,2024,5,0.8222410082817078,2.0424411296844482,17.364072418212892,13.650293350219727,-0.2734131872653961,,,0.4807913303375244,0.007672564126551151,0.4926|0.4712|0.4801|0.4793,217.0000|170.0000|272.0000|203.0000
Traffic,random_point,0.5,ggate,2025,5,0.9440774917602539,2.3446216583251953,16.898440551757812,16.00005531311035,-0.30475170612335206,,,0.48619183897972107,0.010783473961055279,0.4988|0.4694|0.4912|0.4854,260.0000|202.0000|236.0000|164.0000
Traffic,random_point,0.7,ggate,2024,5,0.912093460559845,2.253136396408081,17.092528915405275,13.691899490356445,-0.309884512424469,,,0.48570936918258667,0.007872739806771278,0.4991|0.4788|0.4819|0.4831,210.0000|180.0000|309.0000|163.0000
Traffic,random_point,0.7,ggate,2025,5,0.8812639117240906,2.1531143188476562,17.808988952636717,15.317639541625976,-0.21882579624652862,,,0.48885592818260193,0.009526820853352547,0.5029|0.4761|0.4878|0.4886,106.0000|314.0000|227.0000|215.0000
Weather,continuous_segment,0.3,ggate,2024,5,0.8311575055122375,2.1868088245391846,20.294304275512694,19.27423553466797,0.36161736845970155,,,0.4973927438259125,0.006408287212252617,0.4994|0.5062|0.4886|0.4953,4.0000|6.0000|11.0000|0.0000
Weather,continuous_segment,0.3,ggate,2025,5,1.0594888925552368,2.7776732444763184,10.219796562194825,13.622990226745605,0.208594211935997,,,0.501455545425415,0.009489281103014946,0.5062|0.5143|0.4956|0.4897,9.0000|0.0000|8.0000|4.0000
Weather,continuous_segment,0.5,ggate,2024,5,1.0075078010559082,2.520942449569702,10.406313133239745,13.417131614685058,0.17550156116485596,,,0.5015115737915039,0.007062519434839487,0.5044|0.5117|0.4936|0.4964,9.0000|0.0000|12.0000|0.0000
Weather,continuous_segment,0.5,ggate,2025,5,1.0347319841384888,2.7201039791107178,9.53358154296875,15.162116050720215,0.20490863025188447,,,0.4983644485473633,0.0062635112553834915,0.4986|0.5085|0.4930|0.4933,9.0000|0.0000|6.0000|6.0000
Weather,continuous_segment,0.7,ggate,2024,5,1.0006945133209229,2.6529927253723145,12.635115623474121,12.218002319335938,0.19074421525001525,,,0.5102589130401611,0.006738198921084404,0.5202|0.5049|0.5033|0.5127,3.0000|6.0000|6.0000|6.0000
Weather,continuous_segment,0.7,ggate,2025,5,1.0584521293640137,2.759159803390503,10.294465637207031,10.484051704406738,0.1685563862323761,,,0.5023930072784424,0.007403983268886805,0.5029|0.5141|0.4980|0.4945,11.0000|0.0000|4.0000|6.0000
Weather,random_point,0.5,ggate,2024,5,0.9343795776367188,2.4148826599121094,10.407282066345214,11.613640785217285,0.18889408111572265,,,0.4954218864440918,0.003204234642907977,0.4941|0.5000|0.4912|0.4964,3.0000|11.0000|3.0000|4.0000
