dataset,missing_type,missing_rate,pred_len,method,predictor,impute,mse_mean,mse_std,mae_mean,mae_std,impute_mse_mean,n_seeds
ExchangeRate,variable_channel,0.3,96,crib,iTransformer,none,0.8722964976164286,0.020921270359360124,0.5488777320259967,0.01430421224724494,3.5959110393952787,6
ExchangeRate,variable_channel,0.3,96,misstsm,iTransformer,none,0.9692963870723598,0.08192126512449902,0.741376668884513,0.05276156389543119,3.5959110393952787,6
ExchangeRate,variable_channel,0.3,96,saits,iTransformer,none,976321.0837741307,2337121.5948279244,190.83437069703578,394.2678966080682,5270633.132986676,6
ExchangeRate,variable_channel,0.3,96,simple,iTransformer,linear,0.8624467202340173,0.02029910319449475,0.5357634731557931,0.009024594402079528,3.595911039395279,6
ExchangeRate,variable_channel,0.3,192,coifnet,iTransformer,none,0.9384265852022361,0.025157002920337155,0.61889413771141,0.019389448466325742,3.7270612903388147,6
ExchangeRate,variable_channel,0.3,192,crib,iTransformer,none,0.9638112523708956,0.05268338914154683,0.6351504951835157,0.03379848974841083,3.727323566095896,6
ExchangeRate,variable_channel,0.3,192,misstsm,iTransformer,none,1.3417948594533773,0.2175644540624837,0.888585907986844,0.0915668864620065,3.727323566095896,6
ExchangeRate,variable_channel,0.3,192,saits,iTransformer,none,97364.75722229994,237051.42908172237,61.71920678330712,135.32413742356235,481465.61364008434,6
ExchangeRate,variable_channel,0.3,192,simple,iTransformer,linear,0.924815750505072,0.012624367024925713,0.6078365364347595,0.002708107680058159,3.727323566095896,6
ExchangeRate,variable_channel,0.3,336,coifnet,iTransformer,none,1.0890261481205623,0.05607595486168718,0.725153183346396,0.03395967310758074,3.994835717989518,6
ExchangeRate,variable_channel,0.3,336,crib,iTransformer,none,1.1805291951776624,0.10809997182882092,0.7639528876757837,0.04640040360369446,3.995679982342162,6
ExchangeRate,variable_channel,0.3,336,misstsm,iTransformer,none,1.4848751584151845,0.1512115936386391,0.9588912491862839,0.05481133299342743,3.995679982342162,6
ExchangeRate,variable_channel,0.3,336,saits,iTransformer,none,281143.44940460526,688455.4546430286,78.2052736613933,185.9146071876844,1144259.091314754,6
ExchangeRate,variable_channel,0.3,336,simple,iTransformer,linear,1.0418572746687107,0.026362691465964153,0.6946542824173833,0.011426575008888438,3.995679982342162,6
ExchangeRate,variable_channel,0.3,720,coifnet,iTransformer,none,1.7981214817365008,0.35339602372943674,1.0073294480641684,0.08474318368477919,4.80669446627299,6
ExchangeRate,variable_channel,0.3,720,crib,iTransformer,none,2.026473188400269,0.40523217909316667,1.0575964514414469,0.09718424071616401,4.807413287162781,6
